sstart,ssample_end_date,selected_features
0,2012-08-01,"target, EX_ENER_BP_new, IPPI_METAL_CAN_lag2, TSX_LO_lag1, TBILL_6M.Bank_rate_lag1, EOIL_BP_new, G_AVG_3.5.Bank_rate_lag2, G_AVG_5.10.Bank_rate_lag3"
1,2012-09-01,"target, EX_ENER_BP_new, IPPI_METAL_CAN_lag2, TSX_LO_lag1, G_AVG_3.5.Bank_rate_lag2, TBILL_6M.Bank_rate_lag1, G_AVG_5.10.Bank_rate_lag2, G_AVG_5.10.Bank_rate_lag3"
2,2012-10-01,"target, IPPI_METAL_CAN_lag2, EX_ENER_BP_new, TSX_LO_lag1, TBILL_6M.Bank_rate_lag1, G_AVG_3.5.Bank_rate_lag2, TSX_HI, WTISPLC"
3,2012-11-01,"target, IPPI_METAL_CAN_lag2, EX_ENER_BP_new, TSX_LO_lag1, G_AVG_3.5.Bank_rate_lag2, TBILL_6M.Bank_rate_lag1, WTISPLC, G_AVG_5.10.Bank_rate_lag3"
4,2012-12-01,"target, IPPI_METAL_CAN_lag2, EX_ENER_BP_new, TSX_LO_lag1, G_AVG_3.5.Bank_rate_lag2, TBILL_6M.Bank_rate_lag1, G_AVG_5.10.Bank_rate_lag3, EX_METAL_BP_new"
5,2013-01-01,"target, EX_ENER_BP_new, IPPI_METAL_CAN_lag2, TSX_LO_lag1, G_AVG_3.5.Bank_rate_lag2, TBILL_6M.Bank_rate_lag1, EX_METAL_BP_new, Exp_BP_new"
6,2013-02-01,"target, EX_ENER_BP_new, IPPI_METAL_CAN_lag2, TSX_LO_lag1, G_AVG_3.5.Bank_rate_lag2, EOIL_BP_new, TBILL_6M.Bank_rate_lag1, G_AVG_5.10.Bank_rate_lag3"
7,2013-03-01,"target, EX_ENER_BP_new, G_AVG_3.5.Bank_rate_lag2, TSX_LO_lag1, IPPI_METAL_CAN_lag2, G_AVG_5.10.Bank_rate_lag3, G_AVG_5.10.Bank_rate_lag2, TBILL_6M.Bank_rate_lag1"
8,2013-04-01,"target, EX_ENER_BP_new, G_AVG_3.5.Bank_rate_lag2, IPPI_METAL_CAN_lag2, TSX_LO_lag1, G_AVG_5.10.Bank_rate_lag2, G_AVG_5.10.Bank_rate_lag3, TBILL_6M.Bank_rate_lag1"
9,2013-05-01,"target, EX_ENER_BP_new, TSX_HI_lag1, TSX_LO_lag1, loan_lag3, EX_METAL_BP_new, IPPI_METAL_CAN_lag2, Army"
