sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,0.00010505685998149248,8.335526843750229e-05,8.335526843750229e-05,0.997714542537849,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_METAL_CAN', 'MANU_N_ORD_new_lag1', 'TBILL_6M.Bank_rate_lag3', 'IMP_CONS_BP_new', 'G_AVG_5.10.Bank_rate_lag3']"
1,2012-09-01,0.00010500836602944401,8.911216469849948e-05,8.911216469849948e-05,0.9969696761376352,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'G_AVG_3.5.Bank_rate_lag3', 'MANU_N_ORD_new_lag1', 'TBILL_6M.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag3', 'IMP_CONS_BP_new']"
2,2012-10-01,0.00010886888518987209,9.402371052767889e-05,9.402371052767889e-05,0.9965720656861116,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'G_AVG_3.5.Bank_rate_lag3', 'MANU_N_ORD_new_lag1', 'IMP_CONS_BP_new', 'TBILL_6M.Bank_rate_lag3', 'DUR_N_ORD_new_lag1']"
3,2012-11-01,0.00011085729851926736,0.00010039462810747552,0.00010039462810747552,0.996549282839782,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_METAL_CAN', 'G_AVG_5.10.Bank_rate_lag3', 'TBILL_6M.Bank_rate_lag3', 'IPPI_CAN_lag3', 'MANU_N_ORD_new_lag1']"
4,2012-12-01,0.00010054953808925322,8.576852993663439e-05,8.576852993663439e-05,0.9970762389227302,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag3', 'IPPI_METAL_CAN', 'TBILL_6M.Bank_rate_lag3', 'MANU_N_ORD_new_lag1', 'N_DUR_INV_RAT_new']"
5,2013-01-01,0.00010790615209846778,9.732137329878624e-05,9.732137329878624e-05,0.9973915410508899,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag3', 'IPPI_METAL_CAN', 'TBILL_6M.Bank_rate_lag3', 'IPPI_CAN_lag3', 'G_AVG_1.3.Bank_rate_lag1']"
6,2013-02-01,0.0001232944512598084,0.00011306993730461994,0.00011306993730461994,0.9973680438836419,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_METAL_CAN', 'MANU_N_ORD_new_lag1', 'G_AVG_5.10.Bank_rate_lag3', 'DUR_N_ORD_new_lag1', 'TBILL_6M.Bank_rate_lag3']"
7,2013-03-01,0.00011501240458648675,0.00010309397506619511,0.00010309397506619511,0.9980383983953982,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'MANU_N_ORD_new_lag1', 'G_AVG_3.5.Bank_rate_lag3', 'DUR_N_ORD_new_lag1', 'IMP_CONS_BP_new', 'CLAIMS_CAN_lag3']"
8,2013-04-01,0.00011282767498781078,9.757669048762472e-05,9.757669048762472e-05,0.9980770005788854,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'G_AVG_3.5.Bank_rate_lag3', 'IMP_CONS_BP_new', 'MANU_N_ORD_new_lag1', 'IPPI_CAN', 'TBILL_6M.Bank_rate_lag3']"
9,2013-05-01,0.00010625044405859401,8.175560159559152e-05,8.175560159559152e-05,0.998262199994269,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'IMP_CONS_BP_new', 'MANU_N_ORD_new_lag1', 'G_AVG_3.5.Bank_rate_lag3', 'DUR_N_ORD_new_lag1', 'EMP_CONS_CAN_lag1']"
10,2013-06-01,9.33489357052667e-05,7.684923662868474e-05,7.684923662868474e-05,0.9990568542770012,"['target', 'IMP_CONS_BP_new', 'IPPI_METAL_CAN', 'G_AVG_1.3.Bank_rate_lag3', 'CLAIMS_CAN_lag3', 'Exp_BP_new', 'IPPI_CAN', 'IPPI_CAN_lag3']"
11,2013-07-01,0.00012389915099923025,8.971516965798886e-05,8.971516965798886e-05,0.9986401409649163,"['target', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'Exp_BP_new', 'EX_ENER_BP_new_lag1', 'CLAIMS_CAN_lag3', 'IPPI_CAN_lag3']"
12,2013-08-01,8.798241874691598e-05,7.825813928428793e-05,7.825813928428793e-05,0.9992963229949955,"['target', 'IMP_CONS_BP_new', 'IPPI_METAL_CAN', 'G_AVG_1.3.Bank_rate_lag3', 'CRED_HOUS_MORT_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_CAN_lag3', 'EX_ENER_BP_new_lag1']"
13,2013-09-01,9.582810021620342e-05,7.102060569113838e-05,7.102060569113838e-05,0.9991892337176502,"['target', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'CRED_HOUS_MORT_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_CAN_lag3', 'G_AVG_5.10.Bank_rate_lag3']"
14,2013-10-01,7.152346555554904e-05,5.756467283005425e-05,5.756467283005425e-05,0.9995677540554294,"['target', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'CRED_HOUS_MORT_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_CAN_lag3', 'EX_ENER_BP_new_lag1']"
15,2013-11-01,5.8394064309193764e-05,4.672946594174464e-05,4.672946594174464e-05,0.9996771936278119,"['target', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'IPPI_CAN_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'TBILL_6M.Bank_rate_lag3', 'EX_ENER_BP_new_lag1']"
16,2013-12-01,0.000372301988050903,0.00017348038817722983,0.00017348038817722983,0.9896228344802186,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'IMP_CONS_BP_new', 'IPPI_METAL_CAN', 'EX_ENER_BP_new_lag1', 'TBILL_6M.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_CAN_lag3']"
17,2014-01-01,0.00041701812338714323,0.00021134929658912647,0.00021134929658912647,0.9872161716492883,"['target', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'EX_ENER_BP_new_lag1', 'G_AVG_3.5.Bank_rate_lag3', 'TBILL_6M.Bank_rate_lag3', 'IPPI_METAL_CAN', 'TOT_HRS_CAN_lag3']"
18,2014-02-01,0.0003993310916021764,0.00019850187267718327,0.00019850187267718327,0.9899801576268299,"['target', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'EX_ENER_BP_new_lag1', 'TOT_HRS_CAN_lag3', 'IPPI_METAL_CAN', 'TBILL_6M.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3']"
19,2014-03-01,0.00043585402864881276,0.0001906114058648187,0.0001906114058648187,0.9854965436336263,"['target', 'IMP_CONS_BP_new', 'EX_ENER_BP_new_lag1', 'G_AVG_1.3.Bank_rate_lag3', 'DUR_UNFIL_new_lag1', 'IPPI_METAL_CAN', 'MANU_UNFIL_new_lag1', 'IPPI_CAN_lag3']"
20,2014-04-01,0.0004050184412857657,0.0001726621112747404,0.0001726621112747404,0.9858513566403829,"['target', 'IMP_CONS_BP_new', 'EX_ENER_BP_new_lag1', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'TBILL_6M.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'DUR_UNFIL_new_lag1']"
21,2014-05-01,0.00035803444712303404,0.00016095363566244656,0.00016095363566244656,0.9881307311647043,"['target', 'EX_ENER_BP_new_lag1', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'TBILL_6M.Bank_rate_lag3', 'IPPI_METAL_CAN', 'G_AVG_5.10.Bank_rate_lag3']"
22,2014-06-01,0.0003922024639648933,0.0001647075815543233,0.0001647075815543233,0.9857976236700595,"['target', 'EX_ENER_BP_new_lag1', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_METAL_CAN', 'TBILL_6M.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag3']"
23,2014-07-01,0.00039976205550658664,0.00016895658198425273,0.00016895658198425273,0.9813424646608999,"['target', 'EX_ENER_BP_new_lag1', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'TBILL_6M.Bank_rate_lag3', 'IPPI_METAL_CAN', 'G_AVG_5.10.Bank_rate_lag3']"
24,2014-08-01,0.00038438947018857927,0.00018004866803294665,0.00018004866803294665,0.984205440823667,"['target', 'EX_ENER_BP_new_lag1', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag3', 'TBILL_6M.Bank_rate_lag3', 'DUR_INV_RAT_new']"
