sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,0.0003160886246700999,0.0003160886246700999,0.0003160886246700999,0.9817689971422021,"['target', 'TSX_HI', 'TBILL_6M', 'IPPI_MACH_CAN_lag1', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'CRED_MORT_HOUSE_cb', 'CRED_MORT_HOUSE_cb_lag1']"
1,2012-09-01,0.0001088459207775344,0.0001088459207775344,0.0001088459207775344,0.9941596145002496,"['target', 'TSX_HI', 'TBILL_6M', 'GOV_AVG_1_3Y', 'IPPI_MACH_CAN_lag1', 'EX_ENER_BP_new_lag2', 'CRED_MORT_HOUSE_cb', 'UNEMP_DURA_1.4_CAN']"
2,2012-10-01,3.596341264662219e-05,3.596341264662219e-05,3.596341264662219e-05,0.9995284260308297,"['target', 'TSX_HI', 'TBILL_6M', 'IPPI_MACH_CAN_lag1', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'CRED_MORT_HOUSE_cb', 'UNEMP_DURA_1.4_CAN']"
3,2012-11-01,0.00015592897974681282,0.00015592897974681282,0.00015592897974681282,0.9980555057229771,"['target', 'TSX_HI', 'IPPI_MACH_CAN_lag1', 'TBILL_6M', 'EX_ENER_BP_new_lag2', 'GOV_AVG_1_3Y', 'CRED_MORT_HOUSE_cb', 'UNEMP_DURA_1.4_CAN']"
4,2012-12-01,0.0001301495880029938,0.0001301495880029938,0.0001301495880029938,0.9910633521233145,"['target', 'TSX_HI', 'TBILL_6M', 'IPPI_MACH_CAN_lag1', 'EX_ENER_BP_new_lag2', 'GOV_AVG_1_3Y', 'CRED_MORT_HOUSE_cb', 'UNEMP_DURA_1.4_CAN']"
5,2013-01-01,5.89772805252662e-05,5.89772805252662e-05,5.89772805252662e-05,0.9997201474523534,"['target', 'TSX_HI', 'TBILL_6M', 'EX_ENER_BP_new_lag2', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'IPPI_MACH_CAN_lag1', 'UNEMP_DURA_1.4_CAN']"
6,2013-02-01,0.00011524448686058009,0.00011524448686058009,0.00011524448686058009,0.9986093452044453,"['target', 'TSX_HI', 'TBILL_6M', 'GOV_AVG_1_3Y', 'CRED_MORT_HOUSE_cb', 'EX_ENER_BP_new_lag2', 'TBILL_6M.Bank_rate', 'CRED_MORT_HOUSE_cb_lag1']"
7,2013-03-01,1.822098780982981e-05,1.822098780982981e-05,1.822098780982981e-05,0.999850761105179,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'TBILL_6M.Bank_rate']"
8,2013-04-01,1.5018113393509098e-05,1.5018113393509098e-05,1.5018113393509098e-05,0.999526115164314,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'TBILL_6M.Bank_rate']"
9,2013-05-01,1.5018113393509098e-05,1.5018113393509098e-05,1.5018113393509098e-05,0.999850761105179,"['target', 'TSX_HI', 'TBILL_6M', 'GOV_AVG_1_3Y', 'CRED_MORT_HOUSE_cb', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'CRED_MORT_HOUSE_cb_lag1']"
10,2013-06-01,7.529960960667203e-05,7.529960960667203e-05,7.529960960667203e-05,0.9997960522061141,"['target', 'TSX_HI', 'TBILL_6M', 'GOV_AVG_1_3Y', 'CRED_MORT_HOUSE_cb', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'IMP_METAL_BP_new_lag1']"
11,2013-07-01,8.978675991254317e-05,8.978675991254317e-05,8.978675991254317e-05,0.9995376060935504,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'TBILL_6M.Bank_rate']"
12,2013-08-01,1.5018113393509098e-05,1.5018113393509098e-05,1.5018113393509098e-05,0.999850761105179,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'TBILL_6M.Bank_rate']"
13,2013-09-01,1.5018113393509098e-05,1.5018113393509098e-05,1.5018113393509098e-05,0.999850761105179,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'TBILL_6M.Bank_rate']"
14,2013-10-01,0.0001943437889380716,0.0001943437889380716,0.0001943437889380716,0.9980328973321676,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'TBILL_6M.Bank_rate']"
15,2013-11-01,3.7979184349639554e-05,3.7979184349639554e-05,3.7979184349639554e-05,0.9836370736504274,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'TBILL_6M.Bank_rate']"
16,2013-12-01,0.0003160886246700999,0.0003160886246700999,0.0003160886246700999,0.9702300158626778,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'UNEMP_CAN', 'EX_ENER_BP_new_lag2', 'TBILL_6M.Bank_rate']"
17,2014-01-01,8.689870254940642e-05,8.689870254940642e-05,8.689870254940642e-05,0.9973949384718458,"['target', 'TSX_HI', 'CRED_MORT_HOUSE_cb', 'TBILL_6M', 'EX_ENER_BP_new_lag2', 'UNEMP_CAN', 'GOV_AVG_1_3Y', 'IPPI_MACH_CAN_lag1']"
18,2014-02-01,7.064282055881024e-05,7.064282055881024e-05,7.064282055881024e-05,0.9997872205508853,"['target', 'CRED_MORT_HOUSE_cb', 'TSX_HI', 'TBILL_6M', 'EX_ENER_BP_new_lag2', 'UNEMP_CAN', 'CAN_US_SEC_NETFLOW', 'CRED_MORT_HOUSE_cb_lag1']"
19,2014-03-01,6.265118335241934e-05,6.265118335241934e-05,6.265118335241934e-05,0.9702300158626778,"['target', 'TSX_HI', 'CRED_MORT_HOUSE_cb', 'TBILL_6M', 'EX_ENER_BP_new_lag2', 'CRED_MORT_HOUSE_cb_lag1', 'UNEMP_CAN', 'GOV_AVG_1_3Y']"
20,2014-04-01,1.5018113393509098e-05,1.5018113393509098e-05,1.5018113393509098e-05,0.999850761105179,"['target', 'CRED_MORT_HOUSE_cb', 'TSX_HI', 'TBILL_6M', 'EX_ENER_BP_new_lag2', 'CRED_MORT_HOUSE_cb_lag1', 'IPPI_MACH_CAN_lag1', 'GOV_AVG_1_3Y']"
21,2014-05-01,0.00017051024620222312,0.00017051024620222312,0.00017051024620222312,0.9957868699940975,"['target', 'CRED_MORT_HOUSE_cb', 'TBILL_6M', 'TSX_HI', 'EX_ENER_BP_new_lag2', 'CRED_MORT_HOUSE_cb_lag1', 'CAN_US_SEC_NETFLOW', 'GOV_AVG_1_3Y']"
22,2014-06-01,9.959569635415062e-05,9.959569635415062e-05,9.959569635415062e-05,0.9966861564463219,"['target', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'TSX_HI', 'EX_ENER_BP_new_lag2', 'IMP_METAL_BP_new_lag1', 'CAN_US_SEC_NETFLOW', 'GOV_AVG_1_3Y']"
23,2014-07-01,2.7805997338848113e-05,2.7805997338848113e-05,2.7805997338848113e-05,0.9972957280183801,"['target', 'TBILL_6M', 'TSX_HI', 'CRED_MORT_HOUSE_cb', 'EX_ENER_BP_new_lag2', 'CAN_US_SEC_NETFLOW', 'GOV_AVG_1_3Y', 'IMP_METAL_BP_new_lag1']"
24,2014-08-01,0.0001567786615600164,0.0001567786615600164,0.0001567786615600164,0.9967688349326548,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'EX_ENER_BP_new_lag2', 'NHOUSE_P_CAN', 'UNEMP_CAN', 'CRED_MORT_HOUSE_cb_lag1']"
25,2014-09-01,1.6011580453378742e-05,1.6011580453378742e-05,1.6011580453378742e-05,0.999850761105179,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'EX_ENER_BP_new_lag2', 'NHOUSE_P_CAN', 'CRED_MORT_HOUSE_cb_lag1', 'GOV_AVG_1_3Y']"
26,2014-10-01,1.5018113393509098e-05,1.5018113393509098e-05,1.5018113393509098e-05,0.999850761105179,"['target', 'TBILL_6M', 'TSX_HI', 'CRED_MORT_HOUSE_cb', 'EX_ENER_BP_new_lag2', 'NHOUSE_P_CAN', 'CAN_US_SEC_NETFLOW', 'GOV_AVG_1_3Y']"
27,2014-11-01,8.614584072914346e-05,8.614584072914346e-05,8.614584072914346e-05,0.9979807857142127,"['target', 'CRED_MORT_HOUSE_cb', 'TSX_HI', 'TBILL_6M', 'EX_ENER_BP_new_lag2', 'NHOUSE_P_CAN', 'GOV_AVG_1_3Y', 'CRED_MORT_HOUSE_cb_lag1']"
28,2014-12-01,5.307162881145822e-05,5.307162881145822e-05,5.307162881145822e-05,0.993290359151481,"['target', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'TSX_HI', 'EX_ENER_BP_new_lag2', 'GOV_AVG_1_3Y', 'EX_METAL_BP_new', 'TBILL_6M.Bank_rate']"
29,2015-01-01,0.0003160886246700999,0.0003160886246700999,0.0003160886246700999,0.9702300158626778,"['target', 'CRED_MORT_HOUSE_cb', 'TBILL_6M', 'TSX_HI', 'TBILL_6M.Bank_rate', 'EX_ENER_BP_new_lag2', 'UNEMP_CAN', 'IPPI_ENER_CAN']"
30,2015-02-01,2.4370504193025884e-05,2.4370504193025884e-05,2.4370504193025884e-05,0.9998338674632539,"['target', 'CRED_MORT_HOUSE_cb', 'TBILL_6M', 'TSX_HI', 'TBILL_6M.Bank_rate', 'EX_ENER_BP_new_lag2', 'CRED_MORT_HOUSE_cb_lag1', 'GOV_AVG_1_3Y']"
31,2015-03-01,1.5018113393509098e-05,1.5018113393509098e-05,1.5018113393509098e-05,0.999850761105179,"['target', 'CRED_MORT_HOUSE_cb', 'TBILL_6M', 'TSX_HI', 'EX_ENER_BP_new_lag2', 'TBILL_6M.Bank_rate', 'IPPI_ENER_CAN', 'CAN_EQTY_NETFLOW_lag3']"
32,2015-04-01,1.5018113393509098e-05,1.5018113393509098e-05,1.5018113393509098e-05,0.999850761105179,"['target', 'CRED_MORT_HOUSE_cb', 'TBILL_6M', 'TSX_HI', 'TBILL_6M.Bank_rate', 'CAN_EQTY_NETFLOW_lag3', 'IPPI_ENER_CAN', 'CRED_MORT_HOUSE_cb_lag1']"
33,2015-05-01,0.000145422092790616,0.000145422092790616,0.000145422092790616,0.9979041445994189,"['target', 'CRED_MORT_HOUSE_cb', 'TBILL_6M', 'TSX_HI', 'CAN_EQTY_NETFLOW_lag3', 'TBILL_6M.Bank_rate', 'CAN_US_SEC_NETFLOW_lag3', 'NHOUSE_P_CAN_lag1']"
34,2015-06-01,0.0003160886246700999,0.0003160886246700999,0.0003160886246700999,0.9702300158626778,"['target', 'CRED_MORT_HOUSE_cb', 'TBILL_6M', 'TSX_HI', 'CAN_EQTY_NETFLOW_lag3', 'TBILL_6M.Bank_rate', 'NHOUSE_P_CAN_lag1', 'CAN_US_SEC_NETFLOW_lag3']"
35,2015-07-01,0.00019886872348281754,0.00019886872348281754,0.00019886872348281754,0.9945272103823147,"['target', 'CRED_MORT_HOUSE_cb', 'TBILL_6M', 'TSX_HI', 'CAN_EQTY_NETFLOW_lag3', 'CAN_US_SEC_NETFLOW_lag3', 'NHOUSE_P_CAN', 'TBILL_6M.Bank_rate']"
36,2015-08-01,0.00012160882866530352,0.00012160882866530352,0.00012160882866530352,0.9844469248277501,"['target', 'CRED_MORT_HOUSE_cb', 'NHOUSE_P_CAN_lag1', 'TBILL_6M', 'NHOUSE_P_CAN', 'TSX_HI', 'CAN_EQTY_NETFLOW_lag3', 'CAN_US_SEC_NETFLOW_lag3']"
37,2015-09-01,0.0003160886246700999,0.0003160886246700999,0.0003160886246700999,0.9957977956856533,"['target', 'CRED_MORT_HOUSE_cb', 'NHOUSE_P_CAN_lag1', 'TBILL_6M', 'TSX_HI', 'NHOUSE_P_CAN', 'CAN_EQTY_NETFLOW_lag3', 'CRED_MORT_HOUSE_cb_lag1']"
38,2015-10-01,1.5018113393509098e-05,1.5018113393509098e-05,1.5018113393509098e-05,0.999498331314299,"['target', 'CRED_MORT_HOUSE_cb', 'NHOUSE_P_CAN_lag1', 'TBILL_6M', 'TSX_HI', 'NHOUSE_P_CAN', 'CAN_EQTY_NETFLOW_lag3', 'CRED_MORT_HOUSE_cb_lag1']"
39,2015-11-01,5.562571558319308e-05,5.562571558319308e-05,5.562571558319308e-05,0.9967532057698417,"['target', 'CRED_MORT_HOUSE_cb', 'NHOUSE_P_CAN', 'NHOUSE_P_CAN_lag1', 'CRED_MORT_HOUSE_cb_lag1', 'TSX_LO_lag1', 'IPPI_ENER_CAN', 'TBILL_6M']"
40,2015-12-01,0.0001766179410453931,0.0001766179410453931,0.0001766179410453931,0.9702300158626778,"['target', 'CRED_MORT_HOUSE_cb', 'NHOUSE_P_CAN', 'NHOUSE_P_CAN_lag1', 'TSX_LO_lag1', 'TBILL_6M_lag1', 'TSX_HI_lag1', 'CRED_MORT_HOUSE_cb_lag1']"
41,2016-01-01,6.933800117360587e-05,6.933800117360587e-05,6.933800117360587e-05,0.9997039337410178,"['target', 'CRED_MORT_HOUSE_cb', 'NHOUSE_P_CAN', 'NHOUSE_P_CAN_lag1', 'TSX_LO_lag1', 'TBILL_6M_lag1', 'TSX_HI_lag1', 'CRED_MORT_HOUSE_cb_lag1']"
42,2016-02-01,5.193766119297293e-05,5.193766119297293e-05,5.193766119297293e-05,0.9998192721415969,"['target', 'CRED_MORT_HOUSE_cb', 'NHOUSE_P_CAN', 'NHOUSE_P_CAN_lag1', 'TBILL_6M_lag1', 'TSX_LO_lag1', 'TSX_HI_lag1', 'IPPI_ENER_CAN']"
