sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,0.0001503737646950582,0.00013859294444444525,0.00013859294444444525,0.9912248065831654,"['target', 'EX_ENER_BP_new', 'IPPI_METAL_CAN_lag2', 'TSX_LO_lag1', 'TBILL_6M.Bank_rate_lag1', 'EOIL_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'G_AVG_5.10.Bank_rate_lag3']"
1,2012-09-01,0.00014774948441336955,0.00013569983333333395,0.00013569983333333395,0.9925107565801196,"['target', 'EX_ENER_BP_new', 'IPPI_METAL_CAN_lag2', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_5.10.Bank_rate_lag2', 'G_AVG_5.10.Bank_rate_lag3']"
2,2012-10-01,0.00015172120950578436,0.0001433160555555555,0.0001433160555555555,0.9938791159073654,"['target', 'IPPI_METAL_CAN_lag2', 'EX_ENER_BP_new', 'TSX_LO_lag1', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TSX_HI', 'WTISPLC']"
3,2012-11-01,0.00012666662723505315,0.00010895830555555633,0.00010895830555555633,0.9969327868766976,"['target', 'IPPI_METAL_CAN_lag2', 'EX_ENER_BP_new', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'WTISPLC', 'G_AVG_5.10.Bank_rate_lag3']"
4,2012-12-01,0.00012825107005863578,0.00011960111111111061,0.00011960111111111061,0.9969327868766976,"['target', 'IPPI_METAL_CAN_lag2', 'EX_ENER_BP_new', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_5.10.Bank_rate_lag3', 'EX_METAL_BP_new']"
5,2013-01-01,0.00025347628384945933,0.00020014043499999852,0.00020014043499999852,0.9930837914608673,"['target', 'EX_ENER_BP_new', 'IPPI_METAL_CAN_lag2', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'EX_METAL_BP_new', 'Exp_BP_new']"
6,2013-02-01,0.00020275285135210386,0.0001775425714285712,0.0001775425714285712,0.9950447839551348,"['target', 'EX_ENER_BP_new', 'IPPI_METAL_CAN_lag2', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'EOIL_BP_new', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_5.10.Bank_rate_lag3']"
7,2013-03-01,0.00020665236707894915,0.00019566133333333248,0.00019566133333333248,0.9954737691684218,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'TSX_LO_lag1', 'IPPI_METAL_CAN_lag2', 'G_AVG_5.10.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1']"
8,2013-04-01,0.00021896077675060733,0.00015360041666666614,0.00015360041666666614,0.9915821525358705,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'IPPI_METAL_CAN_lag2', 'TSX_LO_lag1', 'G_AVG_5.10.Bank_rate_lag2', 'G_AVG_5.10.Bank_rate_lag3', 'TBILL_6M.Bank_rate_lag1']"
9,2013-05-01,0.0001925101452501153,0.0001337824444444444,0.0001337824444444444,0.9881278422515294,"['target', 'EX_ENER_BP_new', 'TSX_HI_lag1', 'TSX_LO_lag1', 'EX_METAL_BP_new', 'IPPI_METAL_CAN_lag2', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1']"
10,2013-06-01,0.0006058284602197077,0.0003740307466666669,0.0003740307466666669,0.9645377260545436,"['target', 'EX_ENER_BP_new', 'TSX_LO_lag1', 'TSX_HI_lag1', 'EX_METAL_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'IPPI_METAL_CAN_lag2']"
11,2013-07-01,0.0002247692540550093,0.00018060288888889107,0.00018060288888889107,0.9967217751725302,"['target', 'EX_ENER_BP_new', 'EX_METAL_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'G_AVG_5.10.Bank_rate_lag3', 'EOIL_BP_new', 'G_AVG_5.10.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1']"
12,2013-08-01,0.00026534237827828593,0.00024239083333332743,0.00024239083333332743,0.9962697830171275,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'EX_METAL_BP_new', 'EMP_MANU_CAN', 'G_AVG_5.10.Bank_rate_lag2', 'CAN_SEC_NETFLOW', 'TBILL_6M.Bank_rate_lag1']"
13,2013-09-01,0.00023488201423983805,0.0002164473044444466,0.0002164473044444466,0.9953082372863997,"['target', 'G_AVG_3.5.Bank_rate_lag2', 'EX_ENER_BP_new', 'EX_METAL_BP_new', 'G_AVG_5.10.Bank_rate_lag2', 'G_AVG_3.5.Bank_rate_lag1', 'G_AVG_3.5.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag3']"
14,2013-10-01,0.00022736876084355722,0.00019876144444444088,0.00019876144444444088,0.9957595249014357,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'EX_METAL_BP_new', 'G_AVG_5.10.Bank_rate_lag2', 'EMP_MANU_CAN', 'G_AVG_3.5.Bank_rate_lag1', 'G_AVG_5.10.Bank_rate_lag3']"
15,2013-11-01,0.00015841105414407896,0.00013112458333333141,0.00013112458333333141,0.9969327868766976,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'EMP_MANU_CAN', 'G_AVG_5.10.Bank_rate_lag2', 'TSX_LO_lag1', 'G_AVG_5.10.Bank_rate_lag3', 'EX_METAL_BP_new']"
16,2013-12-01,0.0006869232228888754,0.0004924464861111119,0.0004924464861111119,0.9710692656151074,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'EMP_MANU_CAN', 'G_AVG_5.10.Bank_rate_lag2', 'TSX_LO_lag1', 'G_AVG_5.10.Bank_rate_lag3', 'UNEMP_DURA_1.4_CAN']"
17,2014-01-01,0.0006869232228888754,0.0004924464861111119,0.0004924464861111119,0.9645377260545436,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'TSX_LO_lag1', 'G_AVG_5.10.Bank_rate_lag2', 'UNEMP_DURA_1.4_CAN', 'G_AVG_5.10.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3']"
18,2014-02-01,0.0006869232228888754,0.0004924464861111119,0.0004924464861111119,0.9714243582934687,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'TSX_LO_lag1', 'UNEMP_DURA_1.4_CAN', 'G_AVG_5.10.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_5.10.Bank_rate_lag3']"
19,2014-03-01,0.0002113447816421366,0.00017032969444444324,0.00017032969444444324,0.9950724087033848,"['target', 'EX_ENER_BP_new', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'UNEMP_DURA_1.4_CAN', 'TSX_HI_lag1', 'G_AVG_3.5.Bank_rate_lag3']"
20,2014-04-01,0.00012666662723505315,0.00010895830555555633,0.00010895830555555633,0.9969327868766976,"['target', 'EX_ENER_BP_new', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TSX_HI', 'G_AVG_3.5.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag2', 'G_AVG_5.10.Bank_rate_lag3']"
