sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,5.84071291328096e-05,5.84071291328096e-05,5.84071291328096e-05,0.9995021804091596,"['target', 'TSX_HI', 'TBILL_6M', 'IPPI_MACH_CAN_lag1', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'CRED_MORT_HOUSE_cb', 'CRED_MORT_HOUSE_cb_lag1']"
1,2012-09-01,0.0002619086363765447,0.0002619086363765447,0.0002619086363765447,0.9661844202428513,"['target', 'TSX_HI', 'TBILL_6M', 'GOV_AVG_1_3Y', 'IPPI_MACH_CAN_lag1', 'EX_ENER_BP_new_lag2', 'CRED_MORT_HOUSE_cb', 'UNEMP_DURA_1.4_CAN']"
2,2012-10-01,0.00013302410676468068,0.00013302410676468068,0.00013302410676468068,0.9935480835540379,"['target', 'TSX_HI', 'TBILL_6M', 'IPPI_MACH_CAN_lag1', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'CRED_MORT_HOUSE_cb', 'UNEMP_DURA_1.4_CAN']"
3,2012-11-01,0.0005279869210815065,0.0005279869210815065,0.0005279869210815065,0.977705418524503,"['target', 'TSX_HI', 'IPPI_MACH_CAN_lag1', 'TBILL_6M', 'EX_ENER_BP_new_lag2', 'GOV_AVG_1_3Y', 'CRED_MORT_HOUSE_cb', 'UNEMP_DURA_1.4_CAN']"
4,2012-12-01,1.1008125549102487e-05,1.1008125549102487e-05,1.1008125549102487e-05,0.9999360683668093,"['target', 'TSX_HI', 'TBILL_6M', 'IPPI_MACH_CAN_lag1', 'EX_ENER_BP_new_lag2', 'GOV_AVG_1_3Y', 'CRED_MORT_HOUSE_cb', 'UNEMP_DURA_1.4_CAN']"
5,2013-01-01,0.00014974811746113967,0.00014974811746113967,0.00014974811746113967,0.9981958089609064,"['target', 'TSX_HI', 'TBILL_6M', 'EX_ENER_BP_new_lag2', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'IPPI_MACH_CAN_lag1', 'UNEMP_DURA_1.4_CAN']"
6,2013-02-01,0.00019216682798463974,0.00019216682798463974,0.00019216682798463974,0.9961333410861033,"['target', 'TSX_HI', 'TBILL_6M', 'GOV_AVG_1_3Y', 'CRED_MORT_HOUSE_cb', 'EX_ENER_BP_new_lag2', 'TBILL_6M.Bank_rate', 'CRED_MORT_HOUSE_cb_lag1']"
7,2013-03-01,8.310771796208628e-06,8.310771796208628e-06,8.310771796208628e-06,0.9999903955502802,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'TBILL_6M.Bank_rate']"
8,2013-04-01,0.0002036363092911,0.0002036363092911,0.0002036363092911,0.14300014934622063,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'TBILL_6M.Bank_rate']"
9,2013-05-01,2.003391325237436e-05,2.003391325237436e-05,2.003391325237436e-05,0.9997250057757222,"['target', 'TSX_HI', 'TBILL_6M', 'GOV_AVG_1_3Y', 'CRED_MORT_HOUSE_cb', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'CRED_MORT_HOUSE_cb_lag1']"
10,2013-06-01,0.0010159063349094982,0.0010159063349094982,0.0010159063349094982,0.962877185121744,"['target', 'TSX_HI', 'TBILL_6M', 'GOV_AVG_1_3Y', 'CRED_MORT_HOUSE_cb', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'IMP_METAL_BP_new_lag1']"
11,2013-07-01,9.040505857438492e-06,9.040505857438492e-06,9.040505857438492e-06,0.9999953121579899,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'TBILL_6M.Bank_rate']"
12,2013-08-01,0.00024529453138610446,0.00024529453138610446,0.00024529453138610446,0.9950363198072748,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'TBILL_6M.Bank_rate']"
13,2013-09-01,5.707798080355946e-05,5.707798080355946e-05,5.707798080355946e-05,0.9991948278142276,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'TBILL_6M.Bank_rate']"
14,2013-10-01,3.478376787962537e-05,3.478376787962537e-05,3.478376787962537e-05,0.9999369857248576,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'TBILL_6M.Bank_rate']"
15,2013-11-01,6.722765662431178e-05,6.722765662431178e-05,6.722765662431178e-05,0.948729724042775,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'TBILL_6M.Bank_rate']"
16,2013-12-01,0.002065041210475874,0.002065041210475874,0.002065041210475874,0.8832740182449701,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'UNEMP_CAN', 'EX_ENER_BP_new_lag2', 'TBILL_6M.Bank_rate']"
17,2014-01-01,0.00022089735927495122,0.00022089735927495122,0.00022089735927495122,0.9831665765248315,"['target', 'TSX_HI', 'CRED_MORT_HOUSE_cb', 'TBILL_6M', 'EX_ENER_BP_new_lag2', 'UNEMP_CAN', 'GOV_AVG_1_3Y', 'IPPI_MACH_CAN_lag1']"
18,2014-02-01,0.00018982887961558215,0.00018982887961558215,0.00018982887961558215,0.9984635508653832,"['target', 'CRED_MORT_HOUSE_cb', 'TSX_HI', 'TBILL_6M', 'EX_ENER_BP_new_lag2', 'UNEMP_CAN', 'CAN_US_SEC_NETFLOW', 'CRED_MORT_HOUSE_cb_lag1']"
19,2014-03-01,8.061240762452081e-05,8.061240762452081e-05,8.061240762452081e-05,0.7096680739378725,"['target', 'TSX_HI', 'CRED_MORT_HOUSE_cb', 'TBILL_6M', 'EX_ENER_BP_new_lag2', 'CRED_MORT_HOUSE_cb_lag1', 'UNEMP_CAN', 'GOV_AVG_1_3Y']"
